epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,19576.2,1.17006,1.65658,0.83694,0.96097,0,0.78235,0.80217,0.81627,0.58776,0.59778,0.39303,0.40271,0.29539,1.14755,nan,0.83919,0.96364,0,0.000495062,0.000495062,0.000495062
30,20072.9,1.16832,1.64356,0.83481,0.96152,0,0.78836,0.80464,0.81981,0.58918,0.62002,0.40785,0.41466,0.30262,1.14922,nan,0.82979,0.9647,0,0.000473064,0.000473064,0.000473064
31,20735.3,1.16471,1.63114,0.8292,0.95686,0,0.78553,0.80411,0.82027,0.59328,0.62854,0.40762,0.41432,0.30652,1.14314,nan,0.82977,0.9664,0,0.000451066,0.000451066,0.000451066
32,21636.2,1.16334,1.63635,0.827,0.9561,0,0.79145,0.80367,0.82557,0.59873,0.6161,0.40878,0.41485,0.3042,1.13255,nan,0.82496,0.95819,0,0.000429068,0.000429068,0.000429068
33,22601.6,1.15708,1.62819,0.82076,0.95408,0,0.80216,0.79736,0.82443,0.59657,0.59808,0.40017,0.40911,0.29744,1.13612,nan,0.82204,0.96094,0,0.00040707,0.00040707,0.00040707
34,23482.3,1.15167,1.6215,0.81336,0.95145,0,0.77535,0.80212,0.81357,0.5864,0.59429,0.39556,0.40073,0.29321,1.14301,nan,0.835,0.96029,0,0.000385073,0.000385073,0.000385073
35,23992.3,1.14618,1.61035,0.81179,0.9504,0,0.80008,0.80426,0.82349,0.59637,0.63163,0.40735,0.41642,0.3067,1.13258,nan,0.81368,0.95929,0,0.000363075,0.000363075,0.000363075
36,25012.4,1.14877,1.60834,0.80665,0.94841,0,0.79864,0.80706,0.8242,0.59565,0.61215,0.39574,0.40897,0.3001,1.1325,nan,0.81361,0.95788,0,0.000341077,0.000341077,0.000341077
37,25714.2,1.14724,1.61353,0.80344,0.94942,0,0.7914,0.8097,0.82301,0.5947,0.6094,0.40592,0.41188,0.30079,1.13274,nan,0.81334,0.95655,0,0.000319079,0.000319079,0.000319079
38,26654.4,1.13585,1.59769,0.79817,0.94597,0,0.78158,0.81042,0.8236,0.59959,0.61846,0.40717,0.41482,0.30757,1.12684,nan,0.80888,0.9568,0,0.000297081,0.000297081,0.000297081
39,27108,1.13621,1.59889,0.79585,0.94491,0,0.80971,0.80599,0.83163,0.60407,0.6167,0.40453,0.41661,0.30759,1.13085,nan,0.80632,0.95363,0,0.000275084,0.000275084,0.000275084
40,27524.7,1.11968,1.5906,0.78732,0.9434,0,0.79036,0.81317,0.82963,0.60546,0.61504,0.40973,0.41345,0.30637,1.12062,nan,0.80499,0.95281,0,0.000253086,0.000253086,0.000253086
41,27788.5,1.14073,1.64215,0.8005,0.94595,0,0.78944,0.80749,0.8251,0.60012,0.64452,0.41374,0.42148,0.31001,1.12437,nan,0.80472,0.95522,0,0.000231088,0.000231088,0.000231088
42,28016.9,1.13018,1.64362,0.79102,0.94114,0,0.78641,0.8102,0.82348,0.59909,0.63649,0.41504,0.42191,0.30887,1.12695,nan,0.8067,0.95703,0,0.00020909,0.00020909,0.00020909
43,28257,1.13139,1.63502,0.78655,0.93896,0,0.80137,0.81085,0.82992,0.60214,0.64956,0.41885,0.42397,0.31029,1.12317,nan,0.80087,0.95225,0,0.000187092,0.000187092,0.000187092
44,28600.7,1.12197,1.61884,0.77836,0.93721,0,0.79009,0.81498,0.82511,0.60124,0.64346,0.41862,0.42313,0.30988,1.12142,nan,0.79734,0.9554,0,0.000165095,0.000165095,0.000165095
45,28906,1.11565,1.61273,0.77415,0.93381,0,0.79451,0.81017,0.82822,0.60301,0.65244,0.42012,0.42802,0.31295,1.11891,nan,0.7959,0.95425,0,0.000143097,0.000143097,0.000143097
46,29343.5,1.1121,1.59914,0.76851,0.93108,0,0.79734,0.81281,0.82825,0.60289,0.64815,0.41947,0.42561,0.31285,1.11997,nan,0.79472,0.95398,0,0.000121099,0.000121099,0.000121099
47,29690.5,1.10425,1.61276,0.76259,0.93278,0,0.79379,0.81444,0.83151,0.60569,0.65346,0.42129,0.42679,0.31312,1.11882,nan,0.78798,0.9539,0,9.91012e-05,9.91012e-05,9.91012e-05
48,30117,1.10002,1.60159,0.75507,0.92936,0,0.80379,0.80956,0.83085,0.60602,0.64881,0.41729,0.42809,0.31395,1.11722,nan,0.7903,0.95196,0,7.71034e-05,7.71034e-05,7.71034e-05
49,30527.8,1.09528,1.58218,0.75027,0.92573,0,0.79512,0.81585,0.83172,0.60722,0.65146,0.42217,0.42892,0.31479,1.11332,nan,0.78851,0.95175,0,5.51056e-05,5.51056e-05,5.51056e-05
50,30956.9,1.08958,1.59927,0.74685,0.92461,0,0.80252,0.81123,0.8298,0.60606,0.65188,0.41855,0.42704,0.31415,1.11575,nan,0.78786,0.95242,0,3.31078e-05,3.31078e-05,3.31078e-05
